Source ID,Title,URL,Source Type,Publisher,Author,Publication Date,Platform Relevance,Evidence Type,Sample Size / Scope,Core Claim,Extracted Findings,Operational Implications,Confidence Level,Contradictions / Caveats,Tags,Last Reviewed
SRC-001,How Google Picks Which Sentences to Cite in AI Mode,https://hackmd.io/%40A09fyOMpSD2VYIJodmXHqQ/r1eJyqthdbe,Study / Article,HackMD,Daniel Shashko,2026-03,Google AI Mode; Gemini,Observational study,"42,971 citations across 520 queries",Google AI citations can be reverse-engineered at sentence level via text fragments.,Cited sentences skew toward the top of pages; median cited sentence is 10 words; structured pages show much higher sentence-match rates; only 25.3% of cited URLs rank in top 10 for the same query.,"Create early, self-contained, citable factual sentences and improve page structure.",Strong,Not official guidance; methods are reverse-engineered and platform behavior can change quickly.,citations; atomic sentences; structure; Google AI Mode,2026-03-07
SRC-002,38% of AI Overview Citations Pull From Top 10 Pages,https://ahrefs.com/blog/ai-overview-citations-top-10/,Vendor study / Article,Ahrefs,Ryan Law,2026-03-02,Google AI Overviews,Observational study,"863,000 keywords; 4 million AI Overview URLs",Exact-query rankings now explain a smaller share of AI Overview citations than before.,"Only 38% of cited URLs also rank in the top 10 for the same query, versus Ahrefs' 76% finding in July 2025.",Do not optimize only for the head term; expand coverage to adjacent and fan-out subtopics.,Strong,Methodology differs from other studies; overlap percentages depend on keyword set and extraction method.,AI Overviews; rankings; overlap; fan-out,2026-03-07
SRC-003,What is Query Fan-Out? Understanding the Hidden Mechanism Behind AI Search,https://ahrefs.com/blog/query-fan-out/,Explainer / Article,Ahrefs,Louise Linehan,2026-03-02,Multi-platform AI search,Explainer supported by studies,Conceptual article with examples,AI search systems expand one user query into multiple sub-queries before selecting sources.,Fan-out explains why source selection often goes beyond exact-query top rankings and rewards broader topical coverage.,"Build topic clusters and adjacent-question coverage, not single-keyword pages alone.",Strong,Largely explanatory rather than a primary scientific study.,fan-out; topical coverage; AI search,2026-03-07
SRC-004,Overview of OpenAI Crawlers,https://developers.openai.com/api/docs/bots/,Official documentation,OpenAI,OpenAI,2026,ChatGPT Search; OpenAI systems,Official guidance,Product documentation,OAI-SearchBot and GPTBot are distinct crawlers with separate controls.,Allowing or blocking one crawler does not automatically affect the other; crawl control lives in robots directives.,Run crawler-access checks before blaming content quality for lack of AI visibility.,Official,"Scope is OpenAI-specific, not Google-specific.",crawlers; robots.txt; ChatGPT search,2026-03-07
SRC-005,Publishers and Developers FAQ,https://help.openai.com/en/articles/12627856-publishers-and-developers-faq,Official documentation,OpenAI Help,OpenAI,2026,ChatGPT Search,Official guidance,Publisher FAQ,Publishers allowing OAI-SearchBot can track ChatGPT referrals with utm_source=chatgpt.com.,ChatGPT referral traffic can be identified in analytics if crawler access is allowed.,Add analytics instrumentation and track AI-sourced visits separately from classic organic search.,Official,OpenAI-specific; traffic patterns depend on vertical and query type.,analytics; referrals; ChatGPT,2026-03-07
SRC-006,Top ways to ensure your content performs well in Google's AI experiences,https://developers.google.com/search/blog/2025/05/succeeding-in-ai-search,Official documentation,Google Search Central,Google,2025-05-21,Google AI search experiences,Official guidance,Search guidance,"Google recommends unique, non-commodity content that genuinely satisfies user needs.","Users in AI search ask longer, more specific and follow-up questions; helpfulness and uniqueness remain central.",Reject generic paraphrase pages; prioritize original insight and decision-useful content.,Official,High-level guidance rather than a tactical checklist.,Google AI; uniqueness; helpfulness,2026-03-07
SRC-007,SAGEO Arena: A Realistic Environment for Evaluating Search-Augmented Generative Engine Optimization,https://arxiv.org/abs/2602.12187,Research paper,arXiv / Yonsei University,Kim et al.,2026-02-12,Search-augmented generative engines,Benchmark / research paper,Large-scale benchmark with structural web documents,"Realistic GEO must consider retrieval, reranking and generation together, not generation alone.",Existing approaches often degrade performance under realistic conditions; structural information such as schema helps; optimization must be stage-specific.,Separate discoverability rules from citation-selection rules and answer-inclusion rules.,Strong,Preprint; benchmark environment may not map perfectly to every production system.,benchmark; structure; stage-specific GEO,2026-03-07
SRC-008,Generative Engine Optimization: A VLM and Agent Framework for Pinterest Acquisition Growth,https://arxiv.org/abs/2602.02961,Research paper / case study,arXiv / Pinterest,Zhang et al.,2026-02-03,Generative search platforms,Case study / research paper,Production deployment across billions of images and tens of millions of collections,"Pinterest built GEO around query prediction, collection pages and authority-aware interlinking.",Reported 20% organic traffic growth tied to semantically coherent collection pages and improved interlinking.,"Use clusters, aggregations and interlinking as first-class GEO levers, not afterthoughts.",Strong,Single-company case study; platform characteristics differ from B2B publishing.,collections; interlinking; authority,2026-03-07
SRC-009,AI Overviews Reduce Clicks by 34.5%,https://ahrefs.com/blog/ai-overviews-reduce-clicks/,Vendor study / Article,Ahrefs,Patrick Stox,2025-04-16,Google AI Overviews,Observational study,"300,000 keywords",AI Overviews can materially reduce traditional click-through rates.,Position-one pages saw lower click-through rates when AI Overviews were present.,"Measure visibility, citations and assisted outcomes, not only classic CTR.",Strong,Older than 2026 and may evolve as AI Overviews change.,CTR; zero-click; measurement,2026-03-07
SRC-010,Semrush Report: AI Overviews' Impact on Search in 2025,https://www.semrush.com/blog/semrush-ai-overviews-study/,Vendor study / Report,Semrush,Semrush,2025-12-15,Google AI Overviews,Observational study,10M+ keywords; 200K+ keywords for zero-click trends; 11K domains,AI Overviews expanded and shifted beyond purely informational queries during 2025.,"Semrush found changes in intent mix, SERP volatility and zero-click behavior as AI Overviews evolved.",Use this as a monitoring source for trigger patterns and vertical volatility.,Strong,Useful for trend monitoring; not as foundational as official docs or primary research papers.,Semrush; intent; volatility,2026-03-07
SRC-011,AI in Search: Going beyond information to intelligence,https://blog.google/products-and-platforms/products/search/google-search-ai-mode-update/,Official blog,Google,Google,2025-05-20,Google AI Overviews; AI Mode,Official guidance / product update,Product announcement,Google says AI Overviews drove over 10% query growth in some markets for qualifying query classes.,AI search experiences can expand usage and encourage more complex searching behavior.,Assume search behavior is getting more conversational and iterative; build content for multi-step exploration.,Official,Product blog; high-level product framing rather than optimization detail.,behavior; AI Mode; query complexity,2026-03-07
SRC-012,76% of AI Overview Citations Pull From Top 10 Pages,https://ahrefs.com/blog/search-rankings-ai-citations/,Vendor study / Article,Ahrefs,Ryan Law,2025-07-21,Google AI Overviews,Observational study,"16,000 keywords; 1.9 million citations",Earlier 2025 data showed a much tighter overlap between rankings and AI citations.,"76.1% of cited pages ranked in the top 10 in the earlier study, creating a useful before-versus-after comparison with March 2026.",Store historical baselines so your doctrine can detect shifts instead of freezing one moment as permanent truth.,Strong,Older baseline; not current state.,baseline; citation shift; history,2026-03-07
